attraction,country,review,score,trip_date
Tivoli Gardens,Denmark,Fun place. come early or late to avoid people and waiting in line. good churros. Not all restaurants inside have good food. check reviews before getting food,3.0,Sep 2021
Tivoli Gardens,Denmark,Fun tivoli central in copenhagen. I would recommend comming early so you escape standing to much in line for rides. if you want more peace and quiet go in the evening with less grusome children everywhere.,3.0,Sep 2021
Tivoli Gardens,Denmark,"Tivoli Gardens is a delightful little amusement park, well worth a full afternoon or evening. Although it sits in smack in the middle of downtown Copenhagen, you would never know it. We pre-purchased the ""Skip the Line"" option, but there was no line at midday, mid-week in August, which is the height of Denmark's tourist season. We toured the delightful garden-like setting before spending the rest of our day on the thrilling rides, including their big upside-down roller coaster! We ended having dinner in Tivoli's traditional Copenhagen pub. It was a wonderful way to sample Danish food and drink. Affordable and delicious!.",5.0,Aug 2021
Tivoli Gardens,Denmark,"Tivoli Gardens is a beautiful place but I wish I had imagined it primarily as a garden and not as an amusement park.

As a garden, it's truly worth the price of admission. The old buildings are beautiful and there are flowers everywhere. A lovely place to take pictures and I think the price of admission was worth it for the setting alone. I went at 6pm so I could take daytime shots and then wait for blue hour for the famous shot of the Chinese Pagoda behind the lake. Pics came out great.

As an amusement park, this place, however, is seriously overrated. Maybe I'm just accustomed to more, but the thought of having to pay $15 to ride a C-list roller coaster left a bad taste in my mouth. I've paid $30 before to enter Hersheypark in Pennsylvania and ride ALL attractions (including 14 roller coasters).

Honestly, if you come in expecting Cedar Point, Hersheypark, Disney World, King's Dominion, Busch Gardens, Carowinds or any number of American theme parks, you'll leave horribly disappointed. The main attractions are a small number of mundane roller coasters (again charging $15(!)/90DKK to ride) and then kiddie rides. There's really no in between.

Personally, I'd recommend you pay for admission, walk around and then decide if you want to do the Unlimited Rides ticket. There's a kiosk inside the park where you can buy an Unlimited Ticket, so there's no need to decide at the gate. Pay for admission, walk around, and see if there's enough to justify an Unlimited Ride ticket.

Personally, the gardens are worth it, but the rides are not. So pay the 135DKK for entry, spend 2 hours walking around (it's not as big as other reviews make it out to be), see the daily programming (which I enjoyed a lot), take photos of the old pavilions representing all architectural styles, and grab some food (I'm happy to report the theme park's street food is the same price as outside fast food/street food, which was good to see). It's worth a visit, but come in with proper expectations.
Read more",3.0,Sep 2021
Tivoli Gardens,Denmark,"Well, I mean, you can - but why would you want to? I was lucky enough to attend on a warm, sunny afternoon - on the one day all year that dogs are allowed in - purely by chance. That made the experience even better for me. The place is truly fun with all kinds of games and rides and things to observe. So many people enjoying themselves, really beautiful landscaping, crazy fun things to see and do. A large range of food and drink choices. I am not sure about the price, as it was free on my Copenhagen Card (as was most of what I did on my trip. ) I actually did not ride any rides so cannot comment on those. The park seems well-maintained and clean. If I ever return to Copenhagen I will certainly visit Tivoli again.
Read more",5.0,Aug 2021
Tivoli Gardens,Denmark,"Over 150 years of fun here. Historical otherwise not much here unless it’s for rides. I don’t do amusement park rides.
Families, couples young and old, tourists and locals. New scary rides for thrill seekers as well as more gentle rides for the young and old.
Food, lotsa food. Popcorn and candies to hot dogs and haute cuisine.",3.0,Aug 2021
Tivoli Gardens,Denmark,"On Saturday night the light show at 10.30 and fireworks at 11.30 are well worth it.
Rides are expensive though and not included in the entry fee.
Light show best seen from bridge facing the pirate ship and lasts about 5 minutes.
Fireworks last about the same time and can be seen from Pavillon.",4.0,Aug 2021
Tivoli Gardens,Denmark,"Great amusement/theme Park! I went here with a friend of mine, and we had an amazing day. There's a wide variety of rides, so there is a big chance you will find a ride that you like. The tickets are quite expensive, but it was definitely worth it.",5.0,Jul 2021
Tivoli Gardens,Denmark,"Joy and fun for whole family. Entrance price worth to pay. U get free show at night at 2 stages, find affordable restaurants in the garden (avoid tivoli food court) and a lovely area with a lot of plants and attracttions.",5.0,Aug 2021
Tivoli Gardens,Denmark,"Regardless of the season, it is always a pleasure to visit Tivoli.
The beautiful garden with the many fountains and flower beds in full bloom is worth the whole entrance-fee in the summer.
Visit one of the many restaurants.",5.0,Jul 2021
Tivoli Gardens,Denmark,Unbelievable - a delightful summer afternoon visit - no crowds! We enjoyed a seat on the lawn and jazz music. Lots of little bars and cafes and cute campy games.,5.0,Jul 2021
Tivoli Gardens,Denmark,"Lovely place! This place is perfect for couples, friends and families! Of course there is not cheap but It's a fascinating place with lots of attractions, nature, food, music, and stores. Especially if you like urban activities, you should go there!",5.0,May 2021
Tivoli Gardens,Denmark,"Amazing park that has various activities for kids. Rides look beautiful, old school style, like from movies. There is also top playground for kids next to Rasmus house. There have also been kids theatre shows.

Overall why 4 and not 5? Too pricey, lower added value vs Den Bla and Experimentarium that are slightly better on perspective of price vs value.",4.0,Jun 2021
Tivoli Gardens,Denmark,Wonderful place for a date. The gardens are very romantic and the flower arrangements are absolutely stunning! I would recommend getting the ride pass too if you are visiting with friends,5.0,May 2021
Tivoli Gardens,Denmark,"Second oldest amusement park in the world. Full of old charm, lovely (and pricey) restaurants. Pay the hefty entrance fee and spend an entire day in the area. Rides are ticketed (1-3 tickets per ride and one ticket costing 30DKK). Get there after 8 pm and see the Light Show by the lake or the fireworks every Saturday.",5.0,May 2021
Tivoli Gardens,Denmark,"It was so nice in CPH.DK
Tivoli is the best part we enjoyed during our visit.lot of to do. LOT of to enjoy.
Nice atmosphere.
Really love it.

Great experience.",4.0,Jan 2021
Den Gamle By,Denmark,"They charge about 20 euros for this attraction. Rather disappointing for this price. I enjoyed the botanical garden next to it much more and for free. Have seen better place like this. For example the open air museum in Arnhem, the Netherlands",2.0,Oct 2021
Den Gamle By,Denmark,Last visit was 34 years ago. There is now a 1970s house which I enjoyed. There are plenty of buildings to visit and to look around inside. We had a nice meal while there. Really love that place and everyone should visit if in the area,5.0,Sep 2021
Den Gamle By,Denmark,"Visiting Aarhus for the first time, my friends had all recommended Den Gamle By, a stunning & interesting Open air museum to the west of the city centre.
150 DKK for adults to get in and worth every penny.
A central waterway flows from the a medieval village, through a town in the 1800's and onto the best part as a canal in 1974.
So much to see i will definitely be going back.
My highlight of my time in Aarhus.",5.0,Sep 2021
Den Gamle By,Denmark,"Absolutely excellent. The new additions of the 70s buildings are brilliant, so well done. Had a fantastic day out and a lovely lunch. Highly recommend for a day out!",5.0,Aug 2021
Den Gamle By,Denmark,"Slightly too expensive. The people working inside as characters do have a certain charm, but it is really worthy it only when the place is fully open",4.0,Aug 2021
Den Gamle By,Denmark,"Worth doing if you are in Aarhus.

This place is out by the Botanical Gardens. Nice walk from the centre,

It is really a historical village. Beautifully set up, a bit limited in Covid times, but worth a 90 min visit.

You learn a thing or two about Denmark.",4.0,Jul 2021
Den Gamle By,Denmark,"Make no mistake the old buildings are a very, very important part of our heritage. I thought about the words something old and something new and something borrowed and something blue as I thought about the large building overshadowing gammle by. I can pin point the old and the new and also the blue but was struggling with the borrowed unless it was a house from a remote village in Jutland. Some of the buildings are in very poor shape and so the annual income that it generated from all the ticket sales is very valuable in helping to keep everything maintained for the next 100 years.",4.0,Jul 2021
Den Gamle By,Denmark,Beautiful memories from my childhood years 1971-1980. People with beautiful souls in modest houses! What times!,5.0,May 2021
LEGOLAND Billund,Denmark,Got stuck at the parking for 45 min after close (31/10/2021). Hope LEGO will use their creativity to manage this better in the future.,3.0,Oct 2021
LEGOLAND Billund,Denmark,"Neat place, lots to see, fun rides, friendly staff and all decorated for Halloween. October seems like a good time to go. Short lines for rides and not crowded. Some restaurants and games were either closed or understaffed though.",4.0,Oct 2021
LEGOLAND Billund,Denmark,"As an amusement park it is reasonably priced. Not more expensive than other parks. When everything is open it is not possible to visit the whole park in one day. Having said that I would really think hard about going two days in a row. There are attractions for kids of all ages, young and old. The nice thing is, just as with the lego sets, there are details all over. Everywhere are small stories. Asmost of the things are outdoors, you have to be a bit lucky with the weather",4.0,Oct 2021
LEGOLAND Billund,Denmark,"This was our 15th amusement park we have visited in the world.
What is great about this park is that it is certainly made for children and toddlers. So you see many small kids which interestingly enough gives a very relaxed atmosphere and not the rush you see at Disneyland.

There are rides for all ages (Like Lego from 0-99). Many food options and a lot of photo opportunities on rides.",5.0,Oct 2021
LEGOLAND Billund,Denmark,"I recently completed a trip to Legoland Billund as part of a specifically organised trip from Scotland. I could not find good information on this in advance, so have provided some here.

I hope other readers find this useful, as overall I had an enjoyable family visit.

Travel options:
- Direct from Edinburgh to Copenhagen with car rental
- Direct from Aberdeen to Esbjerg with car rental
- Transfer via London to Billund or other Jutland airports.

Each option carries with it some level of downside. I opted to travel to Legoland Billund via Copenhagen. This carried the additional cost of car rental at £150, a tank of fuel at £60 and bridge tolls at £60, which was less expensive than the other choices. The car journey from Copenhagen was straightforward, navigated with good mobile data coverage and took ~2.5-3 hrs.

Parking
Daily parking is available at Legoland Billund in multiple car parks. I was visiting for multiple days so took advantage of a ""season car parking"" pass at 160DKK which can be held on your mobile electronically. The alternative is a 60DKK daily rate or 55DKK daily rate in the nearby Lalandia.

Park Tickets
I was planning on visiting the park for multiple days. Daily tickets are available at the entrance for 399DKK or in advance for 329DKK. I would recommend purchase of an annual ticket. The mid-priced Awesome Pass cost 649DKK. This provided considerable flexibility and meant numerous short or half day trips to the park combined with other activities. Tickets were held on my phone in the Legoland App.

There are numerous other ""Awesome"" season ticket benefits, the ones appealing most to me being 10% off the lego shop, children eating free at the family buffet, discounts on tea / coffee at selected park outlets and 50% off the price of the lego driving school.

Reserve and Ride tickets were available were time slots could be booked on specific rides. I did not purchase these and neither did the majority in the park. I would not buy these next time either, as none of the queues exceeded 35 minutes.

Opening times
The park opened precisely at 10:00 am each day and rides closed at 18:00. In October, on rainy days arrival at 09:30 allowed us to park less than 50m from the park entrance and to be the first in line to scan through the gates. Arrival at 09:45 meant a longer walk and a queue of ~8 families per entry gate before gaining access.

Having gained access we found that we could complete about 3 rides with no or minimal queues by accessing the park first of all. The only ride not worth getting to early was Emmett's flying adventure as this waited to be filled up before starting.

Rides
All of the rides were included with the exception of the ""fairground"" style entertainments and driving school at 99DKK (44.5DKK with an Awesome pass). Specific time slots for ~25 children are available each hour of the day and are sold out quickly. On the day I wanted to buy tickets, this was my first stop in the park.

I was pleased that I waited to visit the park until my children had reached 120cm of height. At this height all except 1 ride was accessible (Apocalypse Sky Battle @ 130cm), although some needed adult supervision. The staff were disciplined in measuring children's height and had accurate cm measures on some rides to assist.

For younger children (6-7) the faster rollercoasters (Extreme Racers, Polar Explorer, Dragon) may be too extreme. Throughout my park visits the slightly less extreme Flying Eagle was the most popular and consistently had the longest queues.

A full day at the park would allow you to ride all of the rides desired, but is fairly intense. I preferred taking 4x half days to explore and enjoy the park.

What is there to do for adults?
For adults with younger children <120cm I think the experience would be very poor and cold in October with a lot of waiting around at ride entrances. I saw a lot of adults pushing around prams looking cold and fed up, waiting for the next hot drink stop.

At the >120cm level adults should expect to be able to ride with children and this is a lot more enjoyable. All of the larger rides are enjoyable for adults for the first 2-3 attempts.

Food in the Park
I was expecting strict no picnic rules in the park. The opposite was the case and the park encouraged picnics with set aside seating outdoors. Despite going to the park when it was raining, I found properly sheltered seating where I could enjoy a picnic, but would not want to do this on a day <10 degrees. This worked well to help keep the costs down and allowed a budget of £125 for food for 4 per day to be kept to.

I had visited the large ""Bilka"" in Kolding on the way to the park to buy food in advance. We discovered a variety of good quality bakers in the 30km circle around the park, which opened early and offered sandwiches and cakes. If I hadn't already provisioned, I would in future buy things fresh from these types of vendors daily.

There are numerous hot food outlets in the park. On a colder day I ate in the family buffet, which was free for children with an ""Awesome"" pass per paying adult (219DKK per adult). The buffet was plentiful with salad, soup, hot adult and childrens offerings, drinks and ice cream. I though the quality of the food was average and would not want to eat there for multiple days in a row.

Accommodation
There are various Lego specific (Hotel, Castle Hotel, Village) and non-Lego specific (Lalandia holiday village) options available.

I decided I wanted to be able to travel to and away from Billund each day. Without a car, I think I would have enjoyed the experience less, as I would have felt trapped. I stayed in a small bed and breakfast, which I hav e reviewed separately, 25km from Billund.

As a result, I can only make a cursory comment on the Lego and Lalandia options, which whilst looking fairly glossy and upmarket on the website in reality did not appeal to me. The Lego hotel restaurant, for example, had a very similar feel to the Family Buffet, where I would not want to eat multiple meals a day. The Lalandia holiday village had a strong centreparcs vibe, which does not appeal to me.

Other attractions nearby
- Lego House (15 minutes walk from main car park or pay for alternative parking) Recommend 4hrs
- Lalandia Aquadome (5 minutes walk from main car park or pay for alternative parking). Recommend 3 hrs
- Ribe Vikingcentre (60 minute drive from Billund). Recommend 3 hrs.
- Ribe Watchmen's tour from Weis Stue 20:00 each evening.
Read more",4.0,Oct 2021
LEGOLAND Billund,Denmark,"It's the second year we come with friends. It's a magic place, for all ages, with cities build from Legos. We, adults, and the kids spend hours looking at all the details, the houses, the boats, the big dragon... We love it. They have rides for all the ages. We just think they could be longer. But still, an amazing place to enjoy the day.",4.0,May 2021
LEGOLAND Billund,Denmark,"The entree is expensive, but the park is amazing! Our children (4 and 6 yrs old) had a lot of fun all day. Especially Emmet's flight adventure- Masters of flight was very awesome! ;) They loved it so much.",5.0,Aug 2021
LEGOLAND Billund,Denmark,I would definitely recommend getting in early and then ride you favourite Rollercoaster a few times. At around 12 the rest of the visitors come in and the waiting times can be up to 30mins. 30mins seems low in comparison to other theme parks but it isn't if you are with 2 small kids...,5.0,Jul 2021
LEGOLAND Billund,Denmark,"I came with my 6 year old daughter on the train from Amsterdam via Hamburg. Quite an adventure! We stayed in the LEGOland Hotel and spent 2 days in the park with a day at LEGO House sandwiched in between. You have to be strategic if you are going to make the most of it. If you are going midweek and the Danish holidays are over (as they were when we went) then you will likely have short queues and this makes a big difference. Use the app to monitor queue times for your preferred rides and go there when the time drops. On busier days, it’s worth paying a bit extra and getting the “Reserve & Ride” pass. This allows you to virtually queue while you are elsewhere and when your time is up you can go on the ride and skip the whole queue. Note: this is not available for ALL rides but it makes a difference for a few of the good ones like the dragon, extremes racers and Ninjago. If you are smart you will pack your own food (take a container to the buffet breakfast with you if you are at a hotel - and just be a bit sneaky!). Some tips there that can make a big difference to your adventure! Legoland is great for smallish kids!!! We had a lovely time.
Read more",4.0,Aug 2021
LEGOLAND Billund,Denmark,"I was very disappointed to see that Corona situation does not affect this facility! No masks no measures, many people gathered in small indoor places without any protection and no safety distances!
As a park, we really enjoyed all the games and activities. It was a unique experience. We would like to have a second visit, because the time was limited and we did not try everthing.
It is a very nice experience for children and adults. The toilets are very clean as well as all other commonly used facilities.
Very baby friendly also. There are outdoor specific smoking areas, so as all other areas are smoke free.
Even though there was a lot of people, waiting for the games and activities was not very high.
We enjoyed every minute!
After corona, we would definitely recommend that every family should visit Legoland at least for one or preferably for two days!
Check the weather before scheduling your visit.
Read more",3.0,Aug 2021
LEGOLAND Billund,Denmark,"Kids 8,12 and 14 started to be a little too old for the park. We visited Tivoli in Copenhagen just before visiting Billund. And Tivoli is more interesting for children who are taller than 130 cm. Besides that fact, they did have a great time. Most raids starts from hight 110cm up to 130cm in Billund",4.0,Aug 2021
LEGOLAND Billund,Denmark,It was a fantastic experience. We had 9 rides with my kids and they loved it. They said they wanted to live in Legoland 😊 We had hot dog for lunch and it was not as expensive as I expected. Everything was so worth the price. We are planning to come again next year with my sister and niece. But this time I will use coupons 😅 You can always find some coupons for free entrance for kids during the year.,5.0,Aug 2021
LEGOLAND Billund,Denmark,Great place for short vacation. Need 2 days to try all rides. Fantastic atmosphere and amazing Lego sets available only there,5.0,Jul 2021
LEGOLAND Billund,Denmark,"We went together with my boyfriend, we're in our 20s and had a wonderful and fun day. For adult programs go to the back side of Legoland and Miniland in the front worth a visit too!",5.0,Jul 2021
LEGOLAND Billund,Denmark,"We had two days in Legoland, parents and two small children. There is no doubt that Legoland is good for kids, however, the weaknesses are starting to show: 1) the experiences and rides are dated and don't really offer a LEGO differentiation beyond the standard Danish amusement park (sommerlande) 2) 60-80% of the time is spent on queueing 3) service level is mediocre and the best food venues have a canteen feeling to both environment and meal quality, not price. In general, it seems like the resort is optimised for making money rather customer experience e.g. in case of rain, you can pay 20 DKK to get dried in a booth with infrared dryer - well, why not install roofs where you visitors are queuing, so they don't get wet in the first place. It is an OK amusement park but I would recommend to go for the alternatives. it is definitely not worth extensive travel, way too much ""tourist trap"" for such investment.
Read more",3.0,Jul 2021
LEGOLAND Billund,Denmark,"We booked advanced tickets as advised by Legoland Billund (park tickets and the restaurant) for a much anticipated August holiday. This was under the guidance that we could enter Denmark if vaccinated. Sadly, the rules changed 10 days ago which forced us to cancel our trip.

Legoland refuse to issue a refund and very generously suggested we come back in 2021. What a great suggestion Legoland Billund. You shut over the winter and it’s not like we can just jump on a plane whenever for a day-trip to Denmark!

Shame on you.
Read more",1.0,Jul 2021
LEGOLAND Billund,Denmark,It was an amazing experience! I am a huge fan of Lego and visited Legoland with my husband for my birthday celebration. It was the best birthday gift ever!,5.0,Jun 2021
LEGOLAND Billund,Denmark,"I live close to Legoland, and have been a regular visitor for more than 30 years with my children and now my grandchildren. I hate to write this, but Legoland has developed into a real tourist trap. The latest (last?) visit was on a sunny Saturday in the beginning of school holidays. They had one (1) ticket booth open, and we waited in the queue for 30 minutes. We couldn't book online, as we had a handicapped person in the party. After that we waited in line for another 20 minutes to get our negative corona test examined - again only one entrance open. The corona craze is not Legolands fault, but they could have opened one more gate. Entry fee was 499 per person. 1500 DKK, or 200 EURO, the disabled person got in for free.
We got in at 13.30, and had dinner at 17.00. During those 2½ hours we tried 2 of the attractions - each about 3 minutes, the remaining time was spent waiting in line.
Dinner consisted of 3 burgers, one was a kids menu, and three small cola's, and set us back 587 DKK, 79 EURO. The burgers were OK, but the price was not.
On leaving we paid 60 DKK for parking, another 9 EURO. How a family of four manages this, beats me. The only place we have seen longer queues and worse crowd management is Alhambra in Spain.
We regularly visit DOM in Hamburg, and although it is not the same, we get much more for our money there, it is even cheaper driving to Copenhagen and visit Bakken. Disneyland in Paris is cheaper all-round.
Read more",1.0,Jul 2021
